year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,court_evalation,new_court_and_court_evaluation,offense_class_felony,offense_class_misdemeanor_and_unknown,offense_type_drug,offense_type_person,offense_type_property,offense_type_sex,offense_type_weapons,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_white,sex_female,sex_male,technical_violation,court_evalation_rate,new_court_and_court_evaluation_rate,offense_class_felony_rate,offense_class_misdemeanor_and_unknown_rate,offense_type_drug_rate,offense_type_person_rate,offense_type_property_rate,offense_type_sex_rate,offense_type_weapons_rate,race_ethnicity_black_rate,race_ethnicity_hispanic_rate,race_ethnicity_white_rate,sex_female_rate,sex_male_rate,technical_violation_rate
1995,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,,,9.0,1.0,8.0,,3.0,6.0,,,6.0,,3.0,1.0,8.0,8.0,,,,,,,,,,,,,,,
1995,83,165.0,Saline,1,Southern,Mostly Urban,43.7,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1995,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,,,11.0,1.0,10.0,,6.0,5.0,,,6.0,,5.0,1.0,10.0,13.0,,,,,,,,,,,,,,,
1995,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,,,2.0,,2.0,,1.0,,,1.0,1.0,,1.0,,2.0,4.0,,,,,,,,,,,,,,,
1995,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,,,3.0,,3.0,,,3.0,,,,,3.0,,3.0,4.0,,,,,,,,,,,,,,,
1995,91,181.0,Union,1,Southern,Mostly Rural,65.9,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1995,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,,1.0,9.0,1.0,8.0,,3.0,4.0,1.0,1.0,7.0,,2.0,,9.0,2.0,,,,,,,,,,,,,,,
1995,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,,1.0,1.0,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
1995,94,187.0,Warren,9,Central,Mostly Urban,45.5,,,1.0,,1.0,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,
1995,95,189.0,Washington,20,Southern,Mostly Rural,73.6,,,1.0,,1.0,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,
1995,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1995,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,,,8.0,,8.0,,,7.0,,1.0,1.0,2.0,5.0,,8.0,6.0,,,,,,,,,,,,,,,
1995,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,,2.0,17.0,1.0,16.0,3.0,2.0,7.0,1.0,4.0,15.0,,2.0,1.0,16.0,7.0,,,,,,,,,,,,,,,
1995,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
1995,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,,1.0,22.0,4.0,18.0,2.0,4.0,10.0,3.0,3.0,13.0,1.0,8.0,,22.0,8.0,,,,,,,,,,,,,,,
1995,102,203.0,Woodford,11,Central,Mostly Rural,54.9,,,5.0,,5.0,,,4.0,,1.0,,,5.0,1.0,4.0,1.0,,,,,,,,,,,,,,,
1996,1,1.0,Adams,8,Central,Mostly Urban,32.6,,1.0,12.0,1.0,11.0,1.0,3.0,8.0,,,3.0,,9.0,1.0,11.0,2.0,,,,,,,,,,,,,,,
1996,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,,,1.0,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
